es_code	es_name	gene_id	gene_id_type	confidence	evidence_source	functional_role	pathway_context	notes
2.3.3.2	Controlling disease	APH	Pfam	0.65	kegg_decoder+literature	inhibitor	Aminoglycoside phosphotransferase	Aminoglycoside 3'-phosphotransferase; inactivates aminoglycoside antibiotics; AMR indicator
2.1.1.1	Decomposing wastes or polluting substances	CN_hydrolase	Pfam	0.55	kegg_decoder+literature	producer	Carbon-nitrogen bond hydrolysis	Nitrilase/cyanide hydratase superfamily; nitrile and amide xenobiotic degradation
2.3.4.2	Ensuring the organic matter in our soils is maintained	Alpha-amylase	Pfam	0.50	kegg_decoder+literature	transformer	Starch/glycogen degradation	GH13 alpha-amylase; major polysaccharide hydrolysis; organic matter processing
2.1.1.1	Decomposing wastes or polluting substances	Cupin_2	Pfam	0.50	kegg_decoder+literature	producer	Dioxygenase / aromatic ring cleavage	Cupin superfamily; gentisate/quercetin dioxygenases; aromatic xenobiotic ring cleavage
2.1.1.1	Decomposing wastes or polluting substances	Lyase_1	Pfam	0.50	kegg_decoder+literature	producer	C-C/C-O bond cleavage	OAH superfamily carbon-oxygen lyase; aromatic compound degradation intermediates
2.1.1.1	Decomposing wastes or polluting substances	Lipase_GDSL_2	Pfam	0.50	kegg_decoder+literature	producer	Lipid/ester hydrolysis	SGNH hydrolase; lipase/esterase/thioesterase; xenobiotic ester bond hydrolysis
2.3.5.1	Controlling the chemical quality of freshwater	TauE	Pfam	0.50	kegg_decoder+literature	transformer	Sulfonate/taurine transport	TauE sulfite exporter; taurine/sulfonate metabolism; organosulfur cycling in freshwater
2.1.1.1	Decomposing wastes or polluting substances	PQQ_2	Pfam	0.50	kegg_decoder+literature	producer	PQQ-dependent oxidation	PQQ-dependent dehydrogenase; glucose/alcohol oxidation; also P solubilization via organic acids
2.3.5.1	Controlling the chemical quality of freshwater	Cytochrome_CBB3	Pfam	0.50	kegg_decoder+literature	transformer	Microaerobic respiration	Cytochrome cbb3 high-affinity oxidase; microaerobic/suboxic zone adaptation; redox cycling
2.3.4.2	Ensuring the organic matter in our soils is maintained	Polysacc_synt_2	Pfam	0.50	kegg_decoder+literature	producer	EPS/capsule biosynthesis	Polysaccharide biosynthesis protein; capsule/EPS production; biofilm matrix formation
2.1.1.2	Filtering wastes or sequestering pollutants	MerR_1	Pfam	0.50	kegg_decoder+literature	producer	Metal-sensing transcription regulator	MerR family; Hg/Cu/Zn/Cd/Pb-responsive regulator; activates metal resistance operons
2.1.1.1	Decomposing wastes or polluting substances	MR_MLE_C	Pfam	0.50	kegg_decoder+literature	producer	Muconate/mandelate metabolism	Mandelate racemase/muconate lactonizing enzyme; aromatic compound degradation
2.3.5.1	Controlling the chemical quality of freshwater	B12-binding	Pfam	0.45	kegg_decoder+literature	transformer	B12-dependent metabolism	Cobalamin-binding domain; B12-requiring enzymes; indicator of B12 cycling capacity
2.1.1.1	Decomposing wastes or polluting substances	CoA_transf_3	Pfam	0.45	kegg_decoder+literature	producer	CoA transfer / organic acid metabolism	CoA-transferase family III; succinyl-CoA:acetate transfer; organic acid degradation
2.1.1.1	Decomposing wastes or polluting substances	Peptidase_M1	Pfam	0.45	kegg_decoder+literature	producer	Aminopeptidase	M1 metalloaminopeptidase; broad substrate peptide hydrolysis
2.1.1.1	Decomposing wastes or polluting substances	Hydrolase_4	Pfam	0.45	kegg_decoder+literature	producer	Haloacid dehalogenase-like	HAD superfamily; phosphoesterase and dehalogenase activities
2.3.5.1	Controlling the chemical quality of freshwater	Cys_Met_Meta_PP	Pfam	0.45	kegg_decoder+literature	transformer	Sulfur amino acid metabolism	PLP-dependent Cys/Met metabolism; methionine gamma-lyase; volatile S production
2.1.1.1	Decomposing wastes or polluting substances	FAD_binding_3	Pfam	0.45	kegg_decoder+literature	producer	FAD-dependent oxidation	FAD-binding in oxidases/dehydrogenases; diverse substrate oxidation
2.3.5.1	Controlling the chemical quality of freshwater	Fer4	Pfam	0.45	kegg_decoder+literature	transformer	Electron transfer / redox cycling	4Fe-4S ferredoxin; electron carrier in anaerobic S/N/Fe redox reactions
2.3.4.2	Ensuring the organic matter in our soils is maintained	Wzy_C	Pfam	0.45	kegg_decoder+literature	producer	EPS/O-antigen polymerization	Wzy polymerase C-terminal; polysaccharide chain elongation for EPS/capsule
